departement,commune,stade,reason,nb_buildings,nb_buildings_total
01,01001,2,Stade 2 : 4 bâtiments,4,4
01,01002,2,Stade 2 : 2 bâtiments,2,2
01,01006,2,Stade 2 : 1 bâtiments,1,1
01,01007,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,24
01,01008,2,Stade 2 : 6 bâtiments,6,6
01,01009,2,Stade 2 : 1 bâtiments,1,1
01,01010,2,Stade 2 : 4 bâtiments,4,4
01,01013,2,Stade 2 : 0 bâtiments,0,0
01,01015,2,Stade 2 : 6 bâtiments,6,6
01,01016,2,Stade 2 : 6 bâtiments,6,6
01,01017,2,Stade 2 : 2 bâtiments,2,2
01,01019,2,Stade 2 : 0 bâtiments,0,0
01,01023,2,Stade 2 : 0 bâtiments,0,0
01,01026,2,Stade 2 : 6 bâtiments,6,6
01,01028,2,Stade 2 : 4 bâtiments,4,4
01,01032,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,26
01,01037,2,Stade 2 : 6 bâtiments,6,6
01,01038,2,Stade 2 : 8 bâtiments,8,8
01,01039,2,Stade 2 : 7 bâtiments,7,7
01,01040,2,Stade 2 : 2 bâtiments,2,2
01,01041,2,Stade 2 : 2 bâtiments,2,2
01,01042,2,Stade 2 : 2 bâtiments,2,2
01,01044,2,Stade 2 : 8 bâtiments,8,8
01,01045,2,Stade 2 : 4 bâtiments,4,4
01,01050,2,Stade 2 : 6 bâtiments,6,6
01,01051,2,Stade 2 : 2 bâtiments,2,2
01,01052,2,Stade 2 : 7 bâtiments,7,7
01,01054,2,Stade 2 : 6 bâtiments,6,6
01,01056,2,Stade 2 : 7 bâtiments,7,7
01,01057,2,Stade 2 : 2 bâtiments,2,2
01,01058,2,Stade 2 : 7 bâtiments,7,7
01,01061,2,Stade 2 : 2 bâtiments,2,2
01,01062,2,Stade 2 : 5 bâtiments,5,5
01,01063,2,Stade 2 : 5 bâtiments,5,5
01,01064,2,Stade 2 : 7 bâtiments,7,7
01,01065,2,Stade 2 : 8 bâtiments,8,8
01,01066,2,Stade 2 : 2 bâtiments,2,2
01,01067,2,Stade 2 : 5 bâtiments,5,5
01,01068,2,Stade 2 : 6 bâtiments,6,6
01,01069,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,12
01,01073,2,Stade 2 : 6 bâtiments,6,6
01,01075,2,Stade 2 : 8 bâtiments,8,8
01,01076,2,Stade 2 : 0 bâtiments,0,0
01,01077,2,Stade 2 : 5 bâtiments,5,5
01,01080,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,32
01,01083,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,15
01,01084,2,Stade 2 : 4 bâtiments,4,4
01,01085,2,Stade 2 : 5 bâtiments,5,5
01,01088,2,Stade 2 : 3 bâtiments,3,3
01,01090,2,Stade 2 : 9 bâtiments,9,9
01,01094,2,Stade 2 : 8 bâtiments,8,8
01,01095,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,11
01,01096,2,Stade 2 : 5 bâtiments,5,5
01,01099,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,12
01,01100,2,Stade 2 : 3 bâtiments,3,3
01,01101,2,Stade 2 : 5 bâtiments,5,5
01,01102,2,Stade 2 : 7 bâtiments,7,7
01,01106,2,Stade 2 : 0 bâtiments,0,0
01,01107,2,Stade 2 : 0 bâtiments,0,0
01,01110,2,Stade 2 : 1 bâtiments,1,1
01,01111,2,Stade 2 : 2 bâtiments,2,2
01,01112,2,Stade 2 : 3 bâtiments,3,3
01,01113,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,14
01,01114,2,Stade 2 : 6 bâtiments,6,6
01,01116,2,Stade 2 : 5 bâtiments,5,5
01,01117,2,Stade 2 : 1 bâtiments,1,1
