departement,commune,nb_connected,network_length_km,heat_demand_MWh,heat_coverage_pct,density_MWh_per_m_per_year,idx_plant
06,06004,305,26.707393480651824,40101.0,31.285888153788537,1.501494334482741,3
06,06011,56,4.869970633464062,7454.0,88.2025795763815,1.530604712229628,3
06,06012,49,4.1001721781762726,6290.0,35.496613995485326,1.5340819181885545,1
06,06018,47,7.934504959422863,11984.0,53.94553229799685,1.5103651785821919,3
06,06027,61,6.0898604062751,9162.0,17.40303156935,1.5044679826419853,3
06,06029,838,84.44913666615548,126685.0,77.76522801352918,1.500133749156151,0
06,06030,106,9.919204465723487,14925.0,26.764099345467585,1.5046569562684582,1
06,06032,23,2.003792884721575,3017.0,33.055768598663306,1.5056446317400758,2
06,06033,45,4.489381043710186,6955.0,60.47300234762195,1.5492113349888734,2
06,06054,13,0.7987683104415546,1204.0,34.69740634005763,1.5073206889422486,2
06,06065,16,3.1279809664641207,4942.0,89.69147005444647,1.5799328873750955,0
06,06069,100,9.608263956483096,14428.0,22.94346823566828,1.5016240254582958,3
06,06073,37,4.997265151157729,7614.0,90.93514869222501,1.5236333813978324,2
06,06079,115,15.933369590659689,23902.0,54.085488652048966,1.500122109388061,3
06,06083,292,27.271447011084035,41020.0,76.37169294930275,1.5041372752728557,1
06,06085,21,2.83195672809234,4248.0,17.278125762629138,1.5000229197928223,0
06,06088,4734,443.6686624083742,690799.0,99.95181817655671,1.5570155355352888,0
06,06089,13,2.0074145933366374,3404.0,74.68187801667398,1.6957134870390769,0
06,06094,33,3.159308189894351,4772.0,81.22553191489361,1.5104572625311297,3
06,06104,10,2.5953974123246657,3904.0,15.690057069367413,1.5042012377222935,3
06,06114,17,1.970031525661934,3089.0,72.51173708920187,1.567995212138593,0
06,06120,57,4.726295164476934,7214.0,74.0353037766831,1.5263540995536584,0
06,06123,178,18.338594440391063,27523.0,68.3495579616569,1.5008238548195456,3
06,06127,15,2.6676152894181415,10400.0,97.83631232361242,3.8986131325812132,1
06,06149,17,2.6379873399777614,4012.0,44.751812604573345,1.5208564268673943,2
06,06152,62,8.705169279690779,13169.0,39.17596311170609,1.5127793127151896,2
06,06155,75,6.907718704957733,10458.0,35.752623841919934,1.5139585797687733,0
06,06157,49,5.048458457497002,7707.0,45.95706618962433,1.5266046189911777,3
06,06161,87,13.36169213813709,20053.0,85.94265632366177,1.500782969154371,3
