departement,commune,nb_connected,network_length_km,heat_demand_MWh,heat_coverage_pct,density_MWh_per_m_per_year,idx_plant
06,06003,2,0.1300045646787318,294.0,17.083091226031378,2.2614590551226788,2
06,06023,3,0.2780715405211053,495.0,36.34361233480176,1.7801174441381935,0
06,06025,6,0.38003380866096803,637.0,42.129629629629626,1.6761666606569579,1
06,06038,2,0.09135402014197441,402.0,16.841223292836197,4.400463158328958,0
06,06048,3,0.3672980534400166,565.0,16.189111747851005,1.5382602622267099,3
06,06057,4,0.5081384187890455,773.0,44.60473167916907,1.521239039240826,0
06,06075,6,0.3579700169473551,550.0,54.45544554455446,1.5364415285118302,2
06,06084,6,0.6995534487621206,1149.0,14.717561163058793,1.6424763569291063,1
06,06090,4,0.32998918072952915,695.0,19.649420412779193,2.1061296569284997,1
06,06095,2,0.06775131364716767,225.0,7.936507936507936,3.320968817988462,3
06,06099,6,1.157482587030219,1800.0,85.22727272727273,1.5550989882433595,1
06,06103,3,0.5628912184554242,937.0,36.904293028751475,1.6646200354148921,1
06,06105,3,0.2793218857248642,424.0,27.496757457846954,1.5179619702898814,1
06,06108,4,0.40720114563657345,669.0,41.2962962962963,1.6429226861681812,2
06,06121,6,0.6652877132063592,1040.0,20.36819428123776,1.5632334392404634,1
06,06130,3,0.5476153042778346,839.0,47.21440630275745,1.5320974294289087,1
06,06136,8,1.074063442963071,1747.0,71.48117839607201,1.6265333406939781,0
06,06138,2,0.03403762667196045,443.0,23.90717754991905,13.015008486620927,0
06,06150,2,0.04435026776841592,215.0,23.915461624026698,4.84777230935035,1
06,06153,6,0.40138534756498007,678.0,27.294685990338163,1.6891498509178613,2
06,06159,4,0.21455428823431025,442.0,6.185278477469913,2.060084669653869,2
06,06163,9,1.095691293583626,1680.0,37.558685446009385,1.5332785884473927,0
