departement,commune,stade,reason,nb_buildings,nb_buildings_total
60,60100,2,Stade 2 : 5 bâtiments,5,5
60,60101,2,Stade 2 : 8 bâtiments,8,8
60,60105,2,Stade 2 : 1 bâtiments,1,1
60,60108,2,Stade 2 : 1 bâtiments,1,1
60,60109,2,Stade 2 : 1 bâtiments,1,1
60,60110,2,Stade 2 : 1 bâtiments,1,1
60,60111,2,Stade 2 : 5 bâtiments,5,5
60,60112,2,Stade 2 : 4 bâtiments,4,4
60,60113,2,Stade 2 : 1 bâtiments,1,1
60,60114,2,Stade 2 : 3 bâtiments,3,3
60,60115,2,Stade 2 : 3 bâtiments,3,3
60,60117,2,Stade 2 : 2 bâtiments,2,2
60,60118,2,Stade 2 : 0 bâtiments,0,0
60,60120,2,Stade 2 : 4 bâtiments,4,4
60,60121,2,Stade 2 : 2 bâtiments,2,2
60,60122,2,Stade 2 : 3 bâtiments,3,3
60,60123,2,Stade 2 : 2 bâtiments,2,2
60,60124,2,Stade 2 : 5 bâtiments,5,5
60,60126,2,Stade 2 : 2 bâtiments,2,2
60,60127,2,Stade 2 : 0 bâtiments,0,0
60,60128,2,Stade 2 : 0 bâtiments,0,0
60,60129,2,Stade 2 : 6 bâtiments,6,6
60,60130,2,Stade 2 : 6 bâtiments,6,6
60,60131,2,Stade 2 : 0 bâtiments,0,0
60,60132,2,Stade 2 : 5 bâtiments,5,5
60,60133,2,Stade 2 : 2 bâtiments,2,2
60,60136,2,Stade 2 : 6 bâtiments,6,6
60,60137,2,Stade 2 : 0 bâtiments,0,0
60,60140,2,Stade 2 : 2 bâtiments,2,2
60,60142,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,34
60,60144,2,Stade 2 : 1 bâtiments,1,1
60,60145,2,Stade 2 : 4 bâtiments,4,4
60,60146,2,Stade 2 : 4 bâtiments,4,4
60,60147,2,Stade 2 : 2 bâtiments,2,2
60,60148,2,Stade 2 : 9 bâtiments,9,9
60,60152,2,Stade 2 : 3 bâtiments,3,3
60,60153,2,Stade 2 : 4 bâtiments,4,4
60,60154,2,Stade 2 : 2 bâtiments,2,2
60,60158,2,Stade 2 : 1 bâtiments,1,1
60,60160,2,Stade 2 : 7 bâtiments,7,7
60,60161,2,Stade 2 : 2 bâtiments,2,2
60,60162,2,Stade 2 : 1 bâtiments,1,1
60,60163,2,Stade 2 : 2 bâtiments,2,2
60,60164,2,Stade 2 : 6 bâtiments,6,6
60,60165,2,Stade 2 : 1 bâtiments,1,1
60,60166,2,Stade 2 : 5 bâtiments,5,5
60,60167,2,Stade 2 : 4 bâtiments,4,4
60,60168,2,Stade 2 : 4 bâtiments,4,4
60,60169,2,Stade 2 : 0 bâtiments,0,0
60,60170,2,Stade 2 : 5 bâtiments,5,5
60,60171,2,Stade 2 : 3 bâtiments,3,3
60,60174,2,Stade 2 : 0 bâtiments,0,0
60,60177,2,Stade 2 : 1 bâtiments,1,1
60,60179,2,Stade 2 : 0 bâtiments,0,0
60,60180,2,Stade 2 : 6 bâtiments,6,6
60,60181,2,Stade 2 : 3 bâtiments,3,3
60,60182,2,Stade 2 : 0 bâtiments,0,0
60,60183,2,Stade 2 : 0 bâtiments,0,0
60,60184,2,Stade 2 : 6 bâtiments,6,6
60,60185,2,Stade 2 : 5 bâtiments,5,5
60,60186,2,Stade 2 : 4 bâtiments,4,4
60,60187,2,Stade 2 : 3 bâtiments,3,3
60,60189,2,Stade 2 : 5 bâtiments,5,5
60,60190,2,Stade 2 : 5 bâtiments,5,5
60,60191,2,Stade 2 : 4 bâtiments,4,4
60,60192,2,Stade 2 : 2 bâtiments,2,2
60,60193,2,Stade 2 : 0 bâtiments,0,0
60,60194,2,Stade 2 : 2 bâtiments,2,2
60,60195,2,Stade 2 : 9 bâtiments,9,9
60,60196,2,Stade 2 : 3 bâtiments,3,3
60,60197,2,Stade 2 : 1 bâtiments,1,1
60,60198,2,Stade 2 : 4 bâtiments,4,4
60,60199,2,Stade 2 : 2 bâtiments,2,2
60,60201,2,Stade 2 : 0 bâtiments,0,0
60,60203,2,Stade 2 : 8 bâtiments,8,8
60,60204,2,Stade 2 : 0 bâtiments,0,0
60,60205,2,Stade 2 : 0 bâtiments,0,0
60,60206,2,Stade 2 : 4 bâtiments,4,4
60,60207,2,Stade 2 : 0 bâtiments,0,0
60,60208,2,Stade 2 : 4 bâtiments,4,4
60,60209,2,Stade 2 : 7 bâtiments,7,7
60,60210,2,Stade 2 : 3 bâtiments,3,3
60,60211,2,Stade 2 : 2 bâtiments,2,2
60,60214,2,Stade 2 : 2 bâtiments,2,2
60,60215,2,Stade 2 : 7 bâtiments,7,7
60,60216,2,Stade 2 : 2 bâtiments,2,2
60,60217,2,Stade 2 : 2 bâtiments,2,2
60,60218,2,Stade 2 : 4 bâtiments,4,4
60,60219,2,Stade 2 : 0 bâtiments,0,0
60,60220,2,Stade 2 : 2 bâtiments,2,2
60,60221,2,Stade 2 : 5 bâtiments,5,5
60,60222,2,Stade 2 : 8 bâtiments,8,8
60,60224,2,Stade 2 : 2 bâtiments,2,2
60,60225,2,Stade 2 : 6 bâtiments,6,6
60,60226,2,Stade 2 : 8 bâtiments,8,8
60,60227,2,Stade 2 : 0 bâtiments,0,0
60,60228,2,Stade 2 : 0 bâtiments,0,0
60,60229,2,Stade 2 : 4 bâtiments,4,4
60,60230,2,Stade 2 : 2 bâtiments,2,2
60,60231,2,Stade 2 : 7 bâtiments,7,7
60,60232,2,Stade 2 : 5 bâtiments,5,5
60,60233,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,16
60,60235,2,Stade 2 : 8 bâtiments,8,8
60,60236,2,Stade 2 : 2 bâtiments,2,2
60,60237,2,Stade 2 : 1 bâtiments,1,1
60,60239,2,Stade 2 : 5 bâtiments,5,5
60,60240,2,Stade 2 : 4 bâtiments,4,4
60,60241,2,Stade 2 : 9 bâtiments,9,9
60,60242,2,Stade 2 : 3 bâtiments,3,3
60,60243,2,Stade 2 : 0 bâtiments,0,0
60,60244,2,Stade 2 : 1 bâtiments,1,1
60,60247,2,Stade 2 : 1 bâtiments,1,1
60,60248,2,Stade 2 : 0 bâtiments,0,0
60,60249,2,Stade 2 : 1 bâtiments,1,1
60,60250,2,Stade 2 : 2 bâtiments,2,2
60,60251,2,Stade 2 : 0 bâtiments,0,0
60,60252,2,Stade 2 : 6 bâtiments,6,6
60,60253,2,Stade 2 : 4 bâtiments,4,4
60,60255,2,Stade 2 : 3 bâtiments,3,3
60,60256,2,Stade 2 : 9 bâtiments,9,9
60,60257,2,Stade 2 : 2 bâtiments,2,2
60,60258,2,Stade 2 : 0 bâtiments,0,0
60,60259,2,Stade 2 : 7 bâtiments,7,7
60,60260,2,Stade 2 : 3 bâtiments,3,3
60,60261,2,Stade 2 : 8 bâtiments,8,8
60,60262,2,Stade 2 : 4 bâtiments,4,4
60,60263,2,Stade 2 : 3 bâtiments,3,3
60,60264,2,Stade 2 : 4 bâtiments,4,4
60,60267,2,Stade 2 : 0 bâtiments,0,0
60,60268,2,Stade 2 : 3 bâtiments,3,3
60,60269,2,Stade 2 : 4 bâtiments,4,4
60,60270,2,Stade 2 : 8 bâtiments,8,8
60,60271,2,Stade 2 : 2 bâtiments,2,2
60,60272,2,Stade 2 : 2 bâtiments,2,2
60,60273,2,Stade 2 : 4 bâtiments,4,4
60,60274,2,Stade 2 : 1 bâtiments,1,1
60,60275,2,Stade 2 : 1 bâtiments,1,1
60,60276,2,Stade 2 : 2 bâtiments,2,2
60,60277,2,Stade 2 : 6 bâtiments,6,6
60,60278,2,Stade 2 : 0 bâtiments,0,0
60,60279,2,Stade 2 : 1 bâtiments,1,1
60,60280,2,Stade 2 : 1 bâtiments,1,1
60,60281,2,Stade 2 : 8 bâtiments,8,8
60,60283,2,Stade 2 : 0 bâtiments,0,0
60,60284,2,Stade 2 : 6 bâtiments,6,6
60,60285,2,Stade 2 : 5 bâtiments,5,5
60,60287,2,Stade 2 : 0 bâtiments,0,0
60,60288,2,Stade 2 : 4 bâtiments,4,4
60,60289,2,Stade 2 : 1 bâtiments,1,1
60,60290,2,Stade 2 : 1 bâtiments,1,1
60,60292,2,Stade 2 : 3 bâtiments,3,3
60,60293,2,Stade 2 : 3 bâtiments,3,3
60,60294,2,Stade 2 : 0 bâtiments,0,0
60,60295,2,Stade 2 : 2 bâtiments,2,2
60,60296,2,Stade 2 : 2 bâtiments,2,2
60,60297,2,Stade 2 : 1 bâtiments,1,1
60,60298,2,Stade 2 : 7 bâtiments,7,7
60,60299,2,Stade 2 : 3 bâtiments,3,3
60,60301,2,Stade 2 : 0 bâtiments,0,0
60,60302,2,Stade 2 : 3 bâtiments,3,3
60,60303,2,Stade 2 : 2 bâtiments,2,2
60,60304,2,Stade 2 : 2 bâtiments,2,2
60,60305,2,Stade 2 : 8 bâtiments,8,8
60,60306,2,Stade 2 : 4 bâtiments,4,4
60,60307,2,Stade 2 : 3 bâtiments,3,3
60,60308,2,Stade 2 : 0 bâtiments,0,0
60,60309,2,Stade 2 : 3 bâtiments,3,3
60,60310,2,Stade 2 : 0 bâtiments,0,0
60,60311,2,Stade 2 : 1 bâtiments,1,1
60,60312,2,Stade 2 : 1 bâtiments,1,1
60,60313,2,Stade 2 : 7 bâtiments,7,7
60,60314,2,Stade 2 : 2 bâtiments,2,2
60,60315,2,Stade 2 : 6 bâtiments,6,6
60,60316,2,Stade 2 : 2 bâtiments,2,2
60,60317,2,Stade 2 : 3 bâtiments,3,3
60,60318,2,Stade 2 : 1 bâtiments,1,1
60,60319,2,Stade 2 : 3 bâtiments,3,3
60,60320,2,Stade 2 : 2 bâtiments,2,2
60,60322,2,Stade 2 : 3 bâtiments,3,3
60,60323,2,Stade 2 : 1 bâtiments,1,1
60,60324,2,Stade 2 : 5 bâtiments,5,5
60,60326,2,Stade 2 : 1 bâtiments,1,1
60,60327,2,Stade 2 : 5 bâtiments,5,5
60,60328,2,Stade 2 : 1 bâtiments,1,1
60,60329,2,Stade 2 : 3 bâtiments,3,3
60,60330,2,Stade 2 : 4 bâtiments,4,4
60,60331,2,Stade 2 : 2 bâtiments,2,2
60,60332,2,Stade 2 : 7 bâtiments,7,7
60,60334,2,Stade 2 : 1 bâtiments,1,1
60,60335,2,Stade 2 : 1 bâtiments,1,1
60,60336,2,Stade 2 : 1 bâtiments,1,1
60,60337,2,Stade 2 : 6 bâtiments,6,6
60,60339,2,Stade 2 : 5 bâtiments,5,5
60,60340,2,Stade 2 : 6 bâtiments,6,6
60,60343,2,Stade 2 : 0 bâtiments,0,0
60,60344,2,Stade 2 : 3 bâtiments,3,3
60,60345,2,Stade 2 : 2 bâtiments,2,2
60,60347,2,Stade 2 : 1 bâtiments,1,1
60,60348,2,Stade 2 : 1 bâtiments,1,1
60,60351,2,Stade 2 : 1 bâtiments,1,1
60,60352,2,Stade 2 : 0 bâtiments,0,0
60,60353,2,Stade 2 : 0 bâtiments,0,0
60,60354,2,Stade 2 : 0 bâtiments,0,0
60,60357,2,Stade 2 : 4 bâtiments,4,4
60,60358,2,Stade 2 : 7 bâtiments,7,7
60,60359,2,Stade 2 : 2 bâtiments,2,2
60,60361,2,Stade 2 : 9 bâtiments,9,9
60,60362,2,Stade 2 : 1 bâtiments,1,1
60,60363,2,Stade 2 : 6 bâtiments,6,6
60,60364,2,Stade 2 : 7 bâtiments,7,7
60,60365,2,Stade 2 : 0 bâtiments,0,0
60,60366,2,Stade 2 : 3 bâtiments,3,3
60,60367,2,Stade 2 : 6 bâtiments,6,6
60,60370,2,Stade 2 : 2 bâtiments,2,2
60,60371,2,Stade 2 : 1 bâtiments,1,1
60,60372,2,Stade 2 : 2 bâtiments,2,2
60,60373,2,Stade 2 : 3 bâtiments,3,3
60,60375,2,Stade 2 : 1 bâtiments,1,1
60,60376,2,Stade 2 : 0 bâtiments,0,0
60,60377,2,Stade 2 : 2 bâtiments,2,2
60,60378,2,Stade 2 : 3 bâtiments,3,3
60,60379,2,Stade 2 : 1 bâtiments,1,1
60,60381,2,Stade 2 : 1 bâtiments,1,1
60,60383,2,Stade 2 : 2 bâtiments,2,2
60,60385,2,Stade 2 : 8 bâtiments,8,8
60,60386,2,Stade 2 : 4 bâtiments,4,4
60,60388,2,Stade 2 : 1 bâtiments,1,1
60,60389,2,Stade 2 : 0 bâtiments,0,0
60,60390,2,Stade 2 : 5 bâtiments,5,5
60,60391,2,Stade 2 : 0 bâtiments,0,0
60,60392,2,Stade 2 : 4 bâtiments,4,4
60,60393,2,Stade 2 : 3 bâtiments,3,3
60,60394,2,Stade 2 : 0 bâtiments,0,0
60,60396,2,Stade 2 : 1 bâtiments,1,1
60,60397,2,Stade 2 : 3 bâtiments,3,3
60,60399,2,Stade 2 : 3 bâtiments,3,3
60,60400,2,Stade 2 : 0 bâtiments,0,0
60,60401,2,Stade 2 : 2 bâtiments,2,2
60,60404,2,Stade 2 : 3 bâtiments,3,3
60,60405,2,Stade 2 : 2 bâtiments,2,2
60,60406,2,Stade 2 : 1 bâtiments,1,1
60,60407,2,Stade 2 : 0 bâtiments,0,0
60,60408,2,Stade 2 : 7 bâtiments,7,7
60,60410,2,Stade 2 : 0 bâtiments,0,0
60,60411,2,Stade 2 : 5 bâtiments,5,5
60,60412,2,Stade 2 : 3 bâtiments,3,3
60,60413,2,Stade 2 : 3 bâtiments,3,3
60,60415,2,Stade 2 : 4 bâtiments,4,4
60,60416,2,Stade 2 : 2 bâtiments,2,2
60,60418,2,Stade 2 : 4 bâtiments,4,4
60,60421,2,Stade 2 : 5 bâtiments,5,5
60,60422,2,Stade 2 : 1 bâtiments,1,1
60,60423,2,Stade 2 : 1 bâtiments,1,1
60,60424,2,Stade 2 : 0 bâtiments,0,0
60,60425,2,Stade 2 : 4 bâtiments,4,4
60,60426,2,Stade 2 : 0 bâtiments,0,0
60,60427,2,Stade 2 : 1 bâtiments,1,1
60,60428,2,Stade 2 : 0 bâtiments,0,0
60,60429,2,Stade 2 : 7 bâtiments,7,7
60,60431,2,Stade 2 : 1 bâtiments,1,1
60,60433,2,Stade 2 : 2 bâtiments,2,2
60,60434,2,Stade 2 : 2 bâtiments,2,2
60,60435,2,Stade 2 : 3 bâtiments,3,3
60,60436,2,Stade 2 : 1 bâtiments,1,1
60,60437,2,Stade 2 : 8 bâtiments,8,8
60,60438,2,Stade 2 : 5 bâtiments,5,5
60,60440,2,Stade 2 : 6 bâtiments,6,6
60,60441,2,Stade 2 : 7 bâtiments,7,7
60,60442,2,Stade 2 : 0 bâtiments,0,0
60,60443,2,Stade 2 : 1 bâtiments,1,1
60,60444,2,Stade 2 : 3 bâtiments,3,3
60,60445,2,Stade 2 : 9 bâtiments,9,9
60,60447,2,Stade 2 : 7 bâtiments,7,7
60,60448,2,Stade 2 : 0 bâtiments,0,0
60,60449,2,Stade 2 : 2 bâtiments,2,2
60,60451,2,Stade 2 : 8 bâtiments,8,8
60,60454,2,Stade 2 : 1 bâtiments,1,1
60,60456,2,Stade 2 : 4 bâtiments,4,4
60,60457,2,Stade 2 : 1 bâtiments,1,1
60,60458,2,Stade 2 : 0 bâtiments,0,0
60,60459,2,Stade 2 : 1 bâtiments,1,1
60,60460,2,Stade 2 : 1 bâtiments,1,1
60,60461,2,Stade 2 : 8 bâtiments,8,8
60,60464,2,Stade 2 : 1 bâtiments,1,1
60,60465,2,Stade 2 : 1 bâtiments,1,1
60,60466,2,Stade 2 : 1 bâtiments,1,1
60,60468,2,Stade 2 : 4 bâtiments,4,4
60,60469,2,Stade 2 : 0 bâtiments,0,0
60,60470,2,Stade 2 : 7 bâtiments,7,7
60,60472,2,Stade 2 : 0 bâtiments,0,0
60,60473,2,Stade 2 : 7 bâtiments,7,7
60,60474,2,Stade 2 : 2 bâtiments,2,2
60,60476,2,Stade 2 : 0 bâtiments,0,0
60,60477,2,Stade 2 : 9 bâtiments,9,9
60,60478,2,Stade 2 : 3 bâtiments,3,3
60,60479,2,Stade 2 : 1 bâtiments,1,1
60,60480,2,Stade 2 : 2 bâtiments,2,2
60,60481,2,Stade 2 : 5 bâtiments,5,5
60,60483,2,Stade 2 : 6 bâtiments,6,6
60,60484,2,Stade 2 : 1 bâtiments,1,1
60,60485,2,Stade 2 : 2 bâtiments,2,2
60,60486,2,Stade 2 : 4 bâtiments,4,4
60,60487,2,Stade 2 : 5 bâtiments,5,5
60,60488,2,Stade 2 : 3 bâtiments,3,3
60,60489,2,Stade 2 : 5 bâtiments,5,5
60,60490,2,Stade 2 : 2 bâtiments,2,2
60,60492,2,Stade 2 : 2 bâtiments,2,2
60,60493,2,Stade 2 : 0 bâtiments,0,0
60,60495,2,Stade 2 : 8 bâtiments,8,8
60,60496,2,Stade 2 : 0 bâtiments,0,0
60,60497,2,Stade 2 : 1 bâtiments,1,1
60,60498,2,Stade 2 : 0 bâtiments,0,0
60,60499,2,Stade 2 : 0 bâtiments,0,0
60,60501,2,Stade 2 : 3 bâtiments,3,3
60,60502,2,Stade 2 : 0 bâtiments,0,0
60,60503,2,Stade 2 : 2 bâtiments,2,2
60,60504,2,Stade 2 : 2 bâtiments,2,2
60,60505,2,Stade 2 : 7 bâtiments,7,7
60,60506,2,Stade 2 : 6 bâtiments,6,6
60,60507,2,Stade 2 : 4 bâtiments,4,4
60,60510,2,Stade 2 : 2 bâtiments,2,2
60,60511,2,Stade 2 : 2 bâtiments,2,2
60,60512,2,Stade 2 : 0 bâtiments,0,0
60,60514,2,Stade 2 : 0 bâtiments,0,0
60,60515,2,Stade 2 : 5 bâtiments,5,5
60,60516,2,Stade 2 : 1 bâtiments,1,1
60,60517,2,Stade 2 : 6 bâtiments,6,6
60,60518,2,Stade 2 : 1 bâtiments,1,1
60,60519,2,Stade 2 : 1 bâtiments,1,1
60,60520,2,Stade 2 : 1 bâtiments,1,1
60,60521,2,Stade 2 : 2 bâtiments,2,2
60,60522,2,Stade 2 : 5 bâtiments,5,5
60,60523,2,Stade 2 : 5 bâtiments,5,5
60,60525,2,Stade 2 : 6 bâtiments,6,6
60,60526,2,Stade 2 : 3 bâtiments,3,3
60,60527,2,Stade 2 : 2 bâtiments,2,2
60,60528,2,Stade 2 : 1 bâtiments,1,1
60,60529,2,Stade 2 : 2 bâtiments,2,2
60,60530,2,Stade 2 : 3 bâtiments,3,3
60,60531,2,Stade 2 : 9 bâtiments,9,9
60,60534,2,Stade 2 : 3 bâtiments,3,3
60,60535,2,Stade 2 : 3 bâtiments,3,3
60,60536,2,Stade 2 : 2 bâtiments,2,2
60,60538,2,Stade 2 : 2 bâtiments,2,2
60,60539,2,Stade 2 : 7 bâtiments,7,7
60,60540,2,Stade 2 : 0 bâtiments,0,0
60,60541,2,Stade 2 : 1 bâtiments,1,1
60,60542,2,Stade 2 : 7 bâtiments,7,7
60,60543,2,Stade 2 : 2 bâtiments,2,2
60,60544,2,Stade 2 : 1 bâtiments,1,1
60,60545,2,Stade 2 : 4 bâtiments,4,4
60,60546,2,Stade 2 : 4 bâtiments,4,4
60,60547,2,Stade 2 : 0 bâtiments,0,0
60,60548,2,Stade 2 : 6 bâtiments,6,6
60,60549,2,Stade 2 : 2 bâtiments,2,2
60,60550,2,Stade 2 : 0 bâtiments,0,0
60,60551,2,Stade 2 : 2 bâtiments,2,2
60,60552,2,Stade 2 : 0 bâtiments,0,0
60,60554,2,Stade 2 : 9 bâtiments,9,9
60,60555,2,Stade 2 : 2 bâtiments,2,2
60,60556,2,Stade 2 : 3 bâtiments,3,3
60,60557,2,Stade 2 : 3 bâtiments,3,3
60,60558,2,Stade 2 : 3 bâtiments,3,3
60,60559,2,Stade 2 : 2 bâtiments,2,2
60,60561,2,Stade 2 : 4 bâtiments,4,4
60,60562,2,Stade 2 : 3 bâtiments,3,3
60,60563,2,Stade 2 : 2 bâtiments,2,2
60,60564,2,Stade 2 : 3 bâtiments,3,3
60,60565,2,Stade 2 : 3 bâtiments,3,3
60,60566,2,Stade 2 : 4 bâtiments,4,4
60,60567,2,Stade 2 : 9 bâtiments,9,9
60,60568,2,Stade 2 : 1 bâtiments,1,1
60,60569,2,Stade 2 : 5 bâtiments,5,5
60,60571,2,Stade 2 : 1 bâtiments,1,1
60,60572,2,Stade 2 : 3 bâtiments,3,3
60,60573,2,Stade 2 : 2 bâtiments,2,2
60,60574,2,Stade 2 : 1 bâtiments,1,1
60,60576,2,Stade 2 : 1 bâtiments,1,1
60,60578,2,Stade 2 : 7 bâtiments,7,7
60,60579,2,Stade 2 : 3 bâtiments,3,3
60,60582,2,Stade 2 : 1 bâtiments,1,1
60,60583,2,Stade 2 : 3 bâtiments,3,3
60,60585,2,Stade 2 : 4 bâtiments,4,4
60,60586,2,Stade 2 : 6 bâtiments,6,6
60,60587,2,Stade 2 : 2 bâtiments,2,2
60,60588,2,Stade 2 : 3 bâtiments,3,3
60,60592,2,Stade 2 : 1 bâtiments,1,1
60,60593,2,Stade 2 : 0 bâtiments,0,0
60,60594,2,Stade 2 : 7 bâtiments,7,7
60,60595,2,Stade 2 : 3 bâtiments,3,3
60,60596,2,Stade 2 : 0 bâtiments,0,0
60,60597,2,Stade 2 : 7 bâtiments,7,7
60,60598,2,Stade 2 : 3 bâtiments,3,3
60,60599,2,Stade 2 : 1 bâtiments,1,1
60,60600,2,Stade 2 : 4 bâtiments,4,4
60,60602,2,Stade 2 : 1 bâtiments,1,1
60,60603,2,Stade 2 : 2 bâtiments,2,2
60,60604,2,Stade 2 : 1 bâtiments,1,1
60,60605,2,Stade 2 : 0 bâtiments,0,0
60,60608,2,Stade 2 : 2 bâtiments,2,2
60,60609,2,Stade 2 : 7 bâtiments,7,7
60,60610,2,Stade 2 : 3 bâtiments,3,3
60,60613,2,Stade 2 : 1 bâtiments,1,1
60,60615,2,Stade 2 : 2 bâtiments,2,2
60,60617,2,Stade 2 : 1 bâtiments,1,1
60,60618,2,Stade 2 : 2 bâtiments,2,2
60,60619,2,Stade 2 : 6 bâtiments,6,6
60,60620,2,Stade 2 : 6 bâtiments,6,6
60,60621,2,Stade 2 : 1 bâtiments,1,1
60,60622,2,Stade 2 : 1 bâtiments,1,1
60,60624,2,Stade 2 : 0 bâtiments,0,0
60,60625,2,Stade 2 : 0 bâtiments,0,0
60,60626,2,Stade 2 : 5 bâtiments,5,5
60,60627,2,Stade 2 : 1 bâtiments,1,1
60,60628,2,Stade 2 : 6 bâtiments,6,6
60,60629,2,Stade 2 : 3 bâtiments,3,3
60,60630,2,Stade 2 : 0 bâtiments,0,0
60,60631,2,Stade 2 : 2 bâtiments,2,2
60,60632,2,Stade 2 : 1 bâtiments,1,1
60,60633,2,Stade 2 : 3 bâtiments,3,3
60,60634,2,Stade 2 : 3 bâtiments,3,3
60,60635,2,Stade 2 : 9 bâtiments,9,9
60,60637,2,Stade 2 : 6 bâtiments,6,6
60,60638,2,Stade 2 : 6 bâtiments,6,6
60,60640,2,Stade 2 : 6 bâtiments,6,6
60,60641,2,Stade 2 : 9 bâtiments,9,9
60,60642,2,Stade 2 : 2 bâtiments,2,2
60,60645,2,Stade 2 : 6 bâtiments,6,6
60,60646,2,Stade 2 : 7 bâtiments,7,7
60,60648,2,Stade 2 : 0 bâtiments,0,0
60,60650,2,Stade 2 : 9 bâtiments,9,9
60,60651,2,Stade 2 : 5 bâtiments,5,5
60,60652,2,Stade 2 : 2 bâtiments,2,2
60,60653,2,Stade 2 : 1 bâtiments,1,1
