departement,commune,stade,reason,nb_buildings,nb_buildings_total
60,60001,2,Stade 2 : 4 bâtiments,4,4
60,60002,2,Stade 2 : 2 bâtiments,2,2
60,60003,2,Stade 2 : 2 bâtiments,2,2
60,60004,2,Stade 2 : 3 bâtiments,3,3
60,60005,2,Stade 2 : 5 bâtiments,5,5
60,60006,2,Stade 2 : 8 bâtiments,8,8
60,60008,2,Stade 2 : 7 bâtiments,7,7
60,60010,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,14
60,60011,2,Stade 2 : 2 bâtiments,2,2
60,60013,2,Stade 2 : 7 bâtiments,7,7
60,60014,2,Stade 2 : 1 bâtiments,1,1
60,60015,2,Stade 2 : 5 bâtiments,5,5
60,60016,2,Stade 2 : 1 bâtiments,1,1
60,60017,2,Stade 2 : 7 bâtiments,7,7
60,60019,2,Stade 2 : 4 bâtiments,4,4
60,60020,2,Stade 2 : 5 bâtiments,5,5
60,60021,2,Stade 2 : 1 bâtiments,1,1
60,60022,2,Stade 2 : 6 bâtiments,6,6
60,60023,2,Stade 2 : 1 bâtiments,1,1
60,60024,2,Stade 2 : 2 bâtiments,2,2
60,60026,2,Stade 2 : 4 bâtiments,4,4
60,60027,2,Stade 2 : 4 bâtiments,4,4
60,60028,2,Stade 2 : 2 bâtiments,2,2
60,60030,2,Stade 2 : 2 bâtiments,2,2
60,60031,2,Stade 2 : 1 bâtiments,1,1
60,60032,2,Stade 2 : 6 bâtiments,6,6
60,60033,2,Stade 2 : 8 bâtiments,8,8
60,60034,2,Stade 2 : 6 bâtiments,6,6
60,60035,2,Stade 2 : 3 bâtiments,3,3
60,60036,2,Stade 2 : 5 bâtiments,5,5
60,60037,2,Stade 2 : 4 bâtiments,4,4
60,60039,2,Stade 2 : 0 bâtiments,0,0
60,60040,2,Stade 2 : 8 bâtiments,8,8
60,60042,2,Stade 2 : 0 bâtiments,0,0
60,60043,2,Stade 2 : 0 bâtiments,0,0
60,60045,2,Stade 2 : 8 bâtiments,8,8
60,60046,2,Stade 2 : 0 bâtiments,0,0
60,60048,2,Stade 2 : 2 bâtiments,2,2
60,60049,2,Stade 2 : 0 bâtiments,0,0
60,60050,2,Stade 2 : 1 bâtiments,1,1
60,60051,2,Stade 2 : 2 bâtiments,2,2
60,60052,2,Stade 2 : 2 bâtiments,2,2
60,60053,2,Stade 2 : 5 bâtiments,5,5
60,60055,2,Stade 2 : 0 bâtiments,0,0
60,60056,2,Stade 2 : 1 bâtiments,1,1
60,60058,2,Stade 2 : 1 bâtiments,1,1
60,60059,2,Stade 2 : 1 bâtiments,1,1
60,60060,2,Stade 2 : 5 bâtiments,5,5
60,60061,2,Stade 2 : 3 bâtiments,3,3
60,60062,2,Stade 2 : 1 bâtiments,1,1
60,60064,2,Stade 2 : 0 bâtiments,0,0
60,60065,2,Stade 2 : 7 bâtiments,7,7
60,60066,2,Stade 2 : 0 bâtiments,0,0
60,60067,2,Stade 2 : 2 bâtiments,2,2
60,60070,2,Stade 2 : 3 bâtiments,3,3
60,60071,2,Stade 2 : 2 bâtiments,2,2
60,60072,2,Stade 2 : 4 bâtiments,4,4
60,60073,2,Stade 2 : 2 bâtiments,2,2
60,60074,2,Stade 2 : 1 bâtiments,1,1
60,60075,2,Stade 2 : 3 bâtiments,3,3
60,60076,2,Stade 2 : 2 bâtiments,2,2
60,60077,2,Stade 2 : 2 bâtiments,2,2
60,60078,2,Stade 2 : 3 bâtiments,3,3
60,60079,2,Stade 2 : 4 bâtiments,4,4
60,60081,2,Stade 2 : 1 bâtiments,1,1
60,60082,2,Stade 2 : 8 bâtiments,8,8
60,60083,2,Stade 2 : 8 bâtiments,8,8
60,60084,2,Stade 2 : 2 bâtiments,2,2
60,60085,2,Stade 2 : 0 bâtiments,0,0
60,60087,2,Stade 2 : 3 bâtiments,3,3
60,60089,2,Stade 2 : 5 bâtiments,5,5
60,60090,2,Stade 2 : 3 bâtiments,3,3
60,60091,2,Stade 2 : 5 bâtiments,5,5
60,60092,2,Stade 2 : 0 bâtiments,0,0
60,60093,2,Stade 2 : 4 bâtiments,4,4
60,60094,2,Stade 2 : 1 bâtiments,1,1
60,60095,2,Stade 2 : 2 bâtiments,2,2
60,60097,2,Stade 2 : 2 bâtiments,2,2
60,60098,2,Stade 2 : 1 bâtiments,1,1
60,60099,2,Stade 2 : 0 bâtiments,0,0
