departement,commune,nb_connected,network_length_km,heat_demand_MWh,heat_coverage_pct,density_MWh_per_m_per_year,idx_plant
60,60009,9,2.4311892310314365,3725.0,66.81614349775785,1.532171972652109,0
60,60012,3,0.2660584540425565,417.0,33.57487922705314,1.5673247501216412,3
60,60025,2,0.2113358892181541,846.0,21.33669609079445,4.003106160197457,0
60,60029,5,0.874741090474425,1456.0,28.83168316831683,1.6644925176778,0
60,60041,3,0.6414932679850092,1075.0,44.922691182615964,1.67577752355325,0
60,60044,4,0.2161771024477423,365.0,32.01754385964912,1.688430439057409,2
60,60047,3,0.24929131342289726,439.0,27.732154137713206,1.7609919654732669,0
60,60054,4,0.2618138635947758,418.0,36.31624674196351,1.5965541100870135,0
60,60063,4,0.09142412142456476,962.0,48.83248730964467,10.522387144772933,0
60,60069,2,0.30897818526065224,800.0,42.87245444801715,2.5891795542948266,0
60,60086,2,0.2604194547490193,626.0,34.02173913043478,2.4038142641966247,0
60,60088,5,0.8594416906535718,1420.0,33.0771022594922,1.6522354168322293,3
60,60102,9,1.17208017226954,1959.0,70.46762589928058,1.6713873729360333,1
60,60116,4,0.4138080824471854,688.0,29.21443736730361,1.6626064815633703,0
60,60119,2,0.21119077635857336,320.0,21.304926764314246,1.5152176885636486,0
60,60125,6,0.26409110223680066,529.0,52.015732546706,2.0030966417250413,0
60,60135,2,0.10383452199965466,184.0,20.81447963800905,1.7720503398726286,0
60,60138,8,0.8418260696724448,1991.0,50.012559658377285,2.365096629491054,0
60,60149,4,0.37902410722847163,766.0,44.35437174290677,2.020979630032513,1
60,60150,2,0.09007448552024994,213.0,22.072538860103627,2.3647095930635627,1
60,60151,7,0.4364573948578144,1061.0,31.53046062407132,2.4309360146037715,2
60,60173,6,0.4318427681463336,763.0,44.206257242178445,1.7668467698906816,1
60,60188,5,0.3630260132887128,688.0,40.39929536112742,1.8951809920377165,0
60,60213,2,0.0695959760432361,592.0,25.561312607944732,8.50623891864414,0
60,60238,5,0.25870977809426093,509.0,26.12936344969199,1.967455593481843,2
60,60245,5,0.9163908125083978,1444.0,40.380313199105146,1.5757469196438143,0
60,60265,2,0.22127827020061475,627.0,49.6437054631829,2.8335362502226307,0
60,60291,3,0.4573270364939582,994.0,33.67208672086721,2.173499313796052,0
60,60321,2,0.22194490234093195,515.0,34.77380148548278,2.320395713387023,0
60,60333,3,0.2492260132003347,427.0,33.38545738858483,1.7133042996469463,0
60,60341,6,1.0305496857941125,1644.0,41.285786037167256,1.5952651508822497,2
60,60342,6,0.6832362448632477,1044.0,28.064516129032256,1.528021980462937,0
60,60350,3,0.23369822227708706,725.0,20.161290322580644,3.102291463477181,0
60,60355,2,0.1222987240858383,297.0,32.108108108108105,2.428479955289995,0
60,60356,5,0.7479854468790895,1189.0,48.313693620479484,1.5896031199016092,0
60,60368,6,0.5749026585370403,897.0,26.083163710380923,1.560264136336756,1
60,60369,3,0.26384156199579156,548.0,34.037267080745345,2.0770040771997134,0
60,60374,3,0.2437142853583161,463.0,23.2780291603821,1.8997655361862906,0
60,60380,7,0.5512019866618136,921.0,68.22222222222221,1.6708938325454068,3
60,60387,7,0.6332185051011592,960.0,36.09022556390977,1.5160643478772564,0
60,60398,3,0.28505711810060935,1149.0,48.95611418832552,4.030771122840254,0
60,60402,2,0.034244288000263495,508.0,20.700896495517522,14.834590808139774,0
60,60403,3,0.16234656648835555,290.0,28.913260219341975,1.7863020221052874,1
60,60420,2,0.043755816783165154,216.0,22.36024844720497,4.9364865263606506,0
60,60430,3,0.16034703374554857,437.0,27.746031746031747,2.7253388465761477,2
60,60439,6,0.38027868005290577,1086.0,13.651791326209931,2.8558003826270557,1
60,60450,5,1.0244954438835883,1666.0,34.926624737945495,1.6261663338244234,0
60,60452,6,0.274588024413074,557.0,45.5437448896157,2.0284934173315663,0
60,60462,8,0.8634105296305228,1332.0,34.732724902216425,1.5427191982126969,0
60,60482,3,0.22196804115735527,484.0,19.74704202366381,2.1804940813839404,1
60,60491,4,0.33312226716005694,524.0,13.836810139952469,1.57299601875077,0
60,60508,4,0.5404644675635197,871.0,23.15873437915448,1.6115768052737585,0
60,60513,5,0.4754188328892453,789.0,29.007352941176475,1.6595892830013472,2
60,60533,3,0.6916821577137433,1192.0,46.984627512810405,1.7233348969705766,0
60,60553,3,0.2501903320300437,464.0,26.72811059907834,1.8545880499662206,3
60,60560,2,0.04744603557098473,339.0,29.17383820998279,7.1449594454064975,0
60,60570,2,0.32557132209736966,513.0,18.600435097897027,1.5756916078946765,1
60,60575,8,0.8465410532433486,1472.0,49.49562878278413,1.738840655583487,1
60,60577,2,0.1626838597731332,250.0,20.39151712887439,1.53672282148107,0
60,60584,9,1.4663706338215914,2260.0,34.185448494932686,1.5412201716765743,2
60,60591,8,1.0431121867498048,1573.0,62.420634920634924,1.5079873670168242,0
60,60601,2,0.13216471242735797,271.0,22.213114754098363,2.0504716805474863,0
60,60611,2,0.11205760113952003,188.0,23.707440100882724,1.6777085899414004,3
60,60614,3,0.09562468199825257,285.0,29.411764705882355,2.9804020682150667,1
60,60616,3,0.47097778860566,916.0,24.66343564889607,1.944890018511994,0
60,60623,4,0.5717967316181859,887.0,55.47217010631644,1.5512505597746042,1
60,60643,2,0.07890555539704806,348.0,25.95078299776286,4.410335853399481,0
60,60644,7,0.9972862234405687,1610.0,26.968174204355112,1.6143810695044107,0
60,60647,2,0.6414128346878573,968.0,31.266149870801037,1.5091684288966183,2
60,60680,2,0.11961736091237153,204.0,21.428571428571427,1.7054380605290642,0
60,60686,4,0.26474836917714056,495.0,26.357827476038338,1.8696999023582288,2
60,60695,6,1.4435491596861765,2472.0,54.401408450704224,1.7124460108704618,1
60,60700,2,0.16993371905097174,271.0,20.718654434250762,1.5947394167176048,0
